	Finnish	English	Category
0	koira	dog	animal
1	hevonen	horse	animal
2	ankka	duck	animal
3	kotka	eagle	animal
4	kissa	cat	animal
5	leijona	lion	animal
6	hiiri	mouse	animal
7	karhu	bear	animal
8	susi	wolf	animal
9	lammas	sheep	animal
10	selkä	back	body
11	käsi	arm	body
12	silmä	eye	body
13	jalka	leg	body
14	korva	ear	body
15	suu	mouth	body
16	varvas	toe	body
17	sormi	finger	body
18	nenä	nose	body
19	huulet	lips	body
20	kirkko	church	building
21	tie	road	building
22	tehdas	factory	building
23	linna	castle	building
24	silta	bridge	building
25	vankila	prison	building
26	torni	tower	building
27	kirjasto	library	building
28	museo	museum	building
29	temppeli	temple	building
30	kuningas	king	human
31	sotilas	soldier	human
32	poliisi	police officer	human
33	vanki	prisoner	human
34	pappi	priest	human
35	opettaja	teacher	human
36	lääkäri	medical doctor	human
37	tuomari	judge	human
38	lapsi	child	human
39	tuli	fire	nature
40	joki	river	nature
41	saari	island	nature
42	meri	sea	nature
43	puisto	park	nature
44	vuori	mountain	nature
45	kallio	rock	nature
46	aalto	wave	nature
47	pilvi	cloud	nature
48	pesä	nest	nature
49	kirja	book	tool
50	pallo	ball	tool
51	saha	saw	tool
52	sormus	ring	tool
53	sakset	scissors	tool
54	pora	drill	tool
55	lusikka	spoon	tool
56	lapio	shovel	tool
57	kampa	comb	tool
58	auto	car	vehicle
59	aate	ideology	abstract_high
60	ajoitus	timing	abstract_high
61	arvio	estimate	abstract_high
62	etu	advantage	abstract_high
63	historia	history	abstract_high
64	ikä	age	abstract_high
65	ilmiö	phenomenon	abstract_high
66	inflaatio	inflation	abstract_high
67	kauneus	beauty	abstract_high
68	kohtalo	destiny	abstract_high
69	kokemus	experience	abstract_high
70	logiikka	logic	abstract_high
71	maine	reputation	abstract_high
72	meriitti	merit	abstract_high
73	merkitys	meaning	abstract_high
74	muutos	change	abstract_high
75	määrä	number	abstract_high
76	nuoruus	youth	abstract_high
77	ongelma	problem	abstract_high
78	vapaus	freedom	abstract_high
79	raha	money	abstract_high
80	demokratia	demokracy	abstract_high
81	sijoitus	investment	abstract_high
82	tahto	will	abstract_high
83	taika	spell	abstract_high
84	tauko	break	abstract_high
85	teho	power	abstract_high
86	tieto	information	abstract_high
87	valta	power	abstract_high
88	järki	sense	abstract_high
89	aamu	morning	abstract_mid
90	armeija	army	abstract_mid
91	bakteeri	bacteria	abstract_mid
92	happi	oxygen	abstract_mid
93	hinta	price	abstract_mid
94	ilme	expression	abstract_mid
95	ilta	evening	abstract_mid
96	infektio	infection	abstract_mid
97	internet	internet	abstract_mid
98	joukkue	team	abstract_mid
99	kitka	friction	abstract_mid
100	koko	size	abstract_mid
101	laulu	song	abstract_mid
102	leikki	play	abstract_mid
103	liite	attachment	abstract_mid
104	luonto	nature	abstract_mid
105	merkintä	entry	abstract_mid
106	metsästys	hunting	abstract_mid
107	musiikki	music	abstract_mid
108	näytelmä	play	abstract_mid
109	paine	pressure	abstract_mid
110	paino	weight	abstract_mid
111	puhe	speech	abstract_mid
112	purkaus	eruption	abstract_mid
113	runo	poem	abstract_mid
114	tausta	background	abstract_mid
115	teos	work	abstract_mid
116	todiste	proof	abstract_mid
117	geeni	gene	abstract_mid
